Section,Day,Period,Course,Faculty,Room
A,Monday,P3,UE24CS561A,F03,Elective_Room_1
B,Monday,P3,UE24CS561A,F03,Elective_Room_1
C,Monday,P3,UE24CS561A,F03,Elective_Room_1
A,Monday,P4,UE24CS561A,F03,Elective_Room_1
B,Monday,P4,UE24CS561A,F03,Elective_Room_1
C,Monday,P4,UE24CS561A,F03,Elective_Room_1
A,Friday,P3,UE24CS561A,F03,Elective_Room_1
B,Friday,P3,UE24CS561A,F03,Elective_Room_1
C,Friday,P3,UE24CS561A,F03,Elective_Room_1
A,Friday,P4,UE24CS561A,F03,Elective_Room_1
B,Friday,P4,UE24CS561A,F03,Elective_Room_1
C,Friday,P4,UE24CS561A,F03,Elective_Room_1
D,Monday,P3,UE24CS562A,F18,Elective_Room_2
E,Monday,P3,UE24CS562A,F18,Elective_Room_2
D,Monday,P4,UE24CS562A,F18,Elective_Room_2
E,Monday,P4,UE24CS562A,F18,Elective_Room_2
D,Friday,P3,UE24CS562A,F18,Elective_Room_2
E,Friday,P3,UE24CS562A,F18,Elective_Room_2
D,Friday,P4,UE24CS562A,F18,Elective_Room_2
E,Friday,P4,UE24CS562A,F18,Elective_Room_2
F,Monday,P3,UE24CS563A,F19,Elective_Room_3
G,Monday,P3,UE24CS563A,F19,Elective_Room_3
F,Monday,P4,UE24CS563A,F19,Elective_Room_3
G,Monday,P4,UE24CS563A,F19,Elective_Room_3
F,Friday,P3,UE24CS563A,F19,Elective_Room_3
G,Friday,P3,UE24CS563A,F19,Elective_Room_3
F,Friday,P4,UE24CS563A,F19,Elective_Room_3
G,Friday,P4,UE24CS563A,F19,Elective_Room_3
H,Monday,P3,UE24CS564A,F20,Elective_Room_4
I,Monday,P3,UE24CS564A,F20,Elective_Room_4
H,Monday,P4,UE24CS564A,F20,Elective_Room_4
I,Monday,P4,UE24CS564A,F20,Elective_Room_4
H,Friday,P3,UE24CS564A,F20,Elective_Room_4
I,Friday,P3,UE24CS564A,F20,Elective_Room_4
H,Friday,P4,UE24CS564A,F20,Elective_Room_4
I,Friday,P4,UE24CS564A,F20,Elective_Room_4
J,Monday,P3,UE24CS565A,F21,Elective_Room_5
K,Monday,P3,UE24CS565A,F21,Elective_Room_5
J,Monday,P4,UE24CS565A,F21,Elective_Room_5
K,Monday,P4,UE24CS565A,F21,Elective_Room_5
J,Friday,P3,UE24CS565A,F21,Elective_Room_5
K,Friday,P3,UE24CS565A,F21,Elective_Room_5
J,Friday,P4,UE24CS565A,F21,Elective_Room_5
K,Friday,P4,UE24CS565A,F21,Elective_Room_5
L,Monday,P3,UE24CS566A,F22,Elective_Room_6
L,Monday,P4,UE24CS566A,F22,Elective_Room_6
L,Friday,P3,UE24CS566A,F22,Elective_Room_6
L,Friday,P4,UE24CS566A,F22,Elective_Room_6
A,Tuesday,P1,UE24CS571A,F23,Elective_Room_1
D,Tuesday,P1,UE24CS571A,F23,Elective_Room_1
A,Tuesday,P2,UE24CS571A,F23,Elective_Room_1
D,Tuesday,P2,UE24CS571A,F23,Elective_Room_1
A,Thursday,P1,UE24CS571A,F23,Elective_Room_1
D,Thursday,P1,UE24CS571A,F23,Elective_Room_1
A,Thursday,P2,UE24CS571A,F23,Elective_Room_1
D,Thursday,P2,UE24CS571A,F23,Elective_Room_1
B,Tuesday,P1,UE24CS572A,F24,Elective_Room_2
E,Tuesday,P1,UE24CS572A,F24,Elective_Room_2
B,Tuesday,P2,UE24CS572A,F24,Elective_Room_2
E,Tuesday,P2,UE24CS572A,F24,Elective_Room_2
B,Thursday,P1,UE24CS572A,F24,Elective_Room_2
E,Thursday,P1,UE24CS572A,F24,Elective_Room_2
B,Thursday,P2,UE24CS572A,F24,Elective_Room_2
E,Thursday,P2,UE24CS572A,F24,Elective_Room_2
C,Tuesday,P1,UE24CS573A,F25,Elective_Room_3
F,Tuesday,P1,UE24CS573A,F25,Elective_Room_3
C,Tuesday,P2,UE24CS573A,F25,Elective_Room_3
F,Tuesday,P2,UE24CS573A,F25,Elective_Room_3
C,Thursday,P1,UE24CS573A,F25,Elective_Room_3
F,Thursday,P1,UE24CS573A,F25,Elective_Room_3
C,Thursday,P2,UE24CS573A,F25,Elective_Room_3
F,Thursday,P2,UE24CS573A,F25,Elective_Room_3
G,Tuesday,P1,UE24CS574A,F26,Elective_Room_4
J,Tuesday,P1,UE24CS574A,F26,Elective_Room_4
G,Tuesday,P2,UE24CS574A,F26,Elective_Room_4
J,Tuesday,P2,UE24CS574A,F26,Elective_Room_4
G,Thursday,P1,UE24CS574A,F26,Elective_Room_4
J,Thursday,P1,UE24CS574A,F26,Elective_Room_4
G,Thursday,P2,UE24CS574A,F26,Elective_Room_4
J,Thursday,P2,UE24CS574A,F26,Elective_Room_4
H,Tuesday,P1,UE24CS575A,F27,Elective_Room_5
K,Tuesday,P1,UE24CS575A,F27,Elective_Room_5
H,Tuesday,P2,UE24CS575A,F27,Elective_Room_5
K,Tuesday,P2,UE24CS575A,F27,Elective_Room_5
H,Thursday,P1,UE24CS575A,F27,Elective_Room_5
K,Thursday,P1,UE24CS575A,F27,Elective_Room_5
H,Thursday,P2,UE24CS575A,F27,Elective_Room_5
K,Thursday,P2,UE24CS575A,F27,Elective_Room_5
I,Tuesday,P1,UE24CS576A,F18,Elective_Room_6
L,Tuesday,P1,UE24CS576A,F18,Elective_Room_6
I,Tuesday,P2,UE24CS576A,F18,Elective_Room_6
L,Tuesday,P2,UE24CS576A,F18,Elective_Room_6
I,Thursday,P1,UE24CS576A,F18,Elective_Room_6
L,Thursday,P1,UE24CS576A,F18,Elective_Room_6
I,Thursday,P2,UE24CS576A,F18,Elective_Room_6
L,Thursday,P2,UE24CS576A,F18,Elective_Room_6
A,Monday,P1,UE24CS552A,F10,Room_G12
A,Monday,P2,UE24CS542A,F01,Room_G12
A,Tuesday,P3,UE24CS542A,F01,Room_G12
A,Tuesday,P4,UE24CS551A,F04,Room_G12
A,Wednesday,P1,UE24CS551A,F04,Room_G12
A,Wednesday,P2,UE24CS542A,F01,Room_G12
A,Wednesday,P3,UE24CS552A,F10,Room_G12
A,Wednesday,P4,UE24CS551A,F04,Room_G12
A,Thursday,P3,UE24CS542A,F01,Room_G12
A,Thursday,P4,UE24CS552A,F10,Room_G12
A,Friday,P1,UE24CS552A,F10,Room_G04
A,Friday,P2,UE24CS551A,F04,Room_G04
B,Monday,P1,UE24CS542A,F01,Room_G11
B,Monday,P2,UE24CS551A,F04,Room_G11
B,Tuesday,P3,UE24CS552A,F10,Room_G11
B,Tuesday,P4,UE24CS542A,F01,Room_G11
B,Wednesday,P1,UE24CS552A,F10,Room_G11
B,Wednesday,P2,UE24CS551A,F04,Room_G11
B,Wednesday,P3,UE24CS542A,F01,Room_G11
B,Wednesday,P4,UE24CS552A,F10,Room_G11
B,Thursday,P3,UE24CS552A,F10,Room_G11
B,Thursday,P4,UE24CS551A,F04,Room_G10
B,Friday,P1,UE24CS551A,F04,Room_G10
B,Friday,P2,UE24CS542A,F01,Room_G10
C,Monday,P1,UE24CS552A,F11,Room_G10
C,Monday,P2,UE24CS551A,F05,Room_G10
C,Tuesday,P3,UE24CS552A,F11,Room_G10
C,Tuesday,P4,UE24CS551A,F05,Room_G10
C,Wednesday,P1,UE24CS542A,F01,Room_G10
C,Wednesday,P2,UE24CS552A,F11,Room_G10
C,Wednesday,P3,UE24CS551A,F05,Room_G10
C,Wednesday,P4,UE24CS542A,F01,Room_G10
C,Thursday,P3,UE24CS551A,F05,Room_G10
C,Thursday,P4,UE24CS542A,F01,Room_G09
C,Friday,P1,UE24CS542A,F01,Room_G09
C,Friday,P2,UE24CS552A,F11,Room_G09
D,Monday,P1,UE24CS551A,F05,Room_G09
D,Monday,P2,UE24CS552A,F11,Room_G09
D,Tuesday,P3,UE24CS551A,F05,Room_G09
D,Tuesday,P4,UE24CS552A,F11,Room_G09
D,Wednesday,P1,UE24CS542A,F02,Room_G09
D,Wednesday,P2,UE24CS551A,F05,Room_G09
D,Wednesday,P3,UE24CS552A,F11,Room_G09
D,Wednesday,P4,UE24CS542A,F02,Room_G09
D,Thursday,P3,UE24CS542A,F02,Room_G09
D,Thursday,P4,UE24CS551A,F05,Room_G08
D,Friday,P1,UE24CS552A,F11,Room_G08
D,Friday,P2,UE24CS542A,F02,Room_G08
E,Monday,P1,UE24CS552A,F12,Room_G08
E,Monday,P2,UE24CS542A,F02,Room_G08
E,Tuesday,P3,UE24CS542A,F02,Room_G08
E,Tuesday,P4,UE24CS551A,F06,Room_G08
E,Wednesday,P1,UE24CS552A,F12,Room_G08
E,Wednesday,P2,UE24CS542A,F02,Room_G08
E,Wednesday,P3,UE24CS551A,F06,Room_G08
E,Wednesday,P4,UE24CS552A,F12,Room_G08
E,Thursday,P3,UE24CS551A,F06,Room_G08
E,Thursday,P4,UE24CS542A,F02,Room_G07
E,Friday,P1,UE24CS552A,F12,Room_G07
E,Friday,P2,UE24CS551A,F06,Room_G07
F,Monday,P1,UE24CS542A,F02,Room_G07
F,Monday,P2,UE24CS551A,F06,Room_G07
F,Tuesday,P3,UE24CS552A,F12,Room_G07
F,Tuesday,P4,UE24CS542A,F02,Room_G07
F,Wednesday,P1,UE24CS551A,F06,Room_G07
F,Wednesday,P2,UE24CS552A,F12,Room_G07
F,Wednesday,P3,UE24CS542A,F02,Room_G07
F,Wednesday,P4,UE24CS551A,F06,Room_G07
F,Thursday,P3,UE24CS552A,F12,Room_G07
F,Thursday,P4,UE24CS551A,F06,Room_G06
F,Friday,P1,UE24CS542A,F02,Room_G06
F,Friday,P2,UE24CS552A,F12,Room_G06
G,Monday,P1,UE24CS542A,F16,Room_G06
G,Monday,P2,UE24CS552A,F13,Room_G06
G,Tuesday,P3,UE24CS552A,F13,Room_G06
G,Tuesday,P4,UE24CS551A,F07,Room_G06
G,Wednesday,P1,UE24CS542A,F16,Room_G06
G,Wednesday,P2,UE24CS551A,F07,Room_G06
G,Wednesday,P3,UE24CS552A,F13,Room_G06
G,Wednesday,P4,UE24CS542A,F16,Room_G06
G,Thursday,P3,UE24CS552A,F13,Room_G06
G,Thursday,P4,UE24CS551A,F07,Room_G11
G,Friday,P1,UE24CS542A,F16,Room_G05
G,Friday,P2,UE24CS551A,F07,Room_G05
H,Monday,P1,UE24CS552A,F13,Room_G05
H,Monday,P2,UE24CS542A,F16,Room_G05
H,Tuesday,P3,UE24CS551A,F07,Room_G05
H,Tuesday,P4,UE24CS542A,F16,Room_G05
H,Wednesday,P1,UE24CS551A,F07,Room_G05
H,Wednesday,P2,UE24CS552A,F13,Room_G05
H,Wednesday,P3,UE24CS542A,F16,Room_G05
H,Wednesday,P4,UE24CS551A,F07,Room_G05
H,Thursday,P3,UE24CS542A,F16,Room_G05
H,Thursday,P4,UE24CS552A,F13,Room_G04
